,age,handle,revenue,betcount,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
260,23,8.0,0.8,2.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
261,23,35.0,3.5,1.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
262,23,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
263,24,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
264,24,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
265,24,205.0,20.5,1.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
266,24,5.0,0.6,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
267,24,3.0,0.35999999999999993,0.9999999999999998,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
268,24,2.0,0.2,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
269,24,5.0,0.5,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
270,24,143.0,17.16,9.0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
271,24,472.0,47.2,17.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
272,24,10.0,1.0,1.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
273,24,90.00000000000004,10.800000000000002,5.9999999999999964,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
274,24,26.0,2.6,4.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
275,24,38.0,3.8,2.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
276,24,11.000000000000005,1.3200000000000005,4.000000000000002,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
