age,handle,revenue,race_month_2018-01-01,race_month_2018-02-01,race_month_2018-03-01,race_month_2018-04-01,race_month_2018-05-01,address_CA,address_FL,address_KY,address_NY,gender_Female,gender_Male,internet_/_shop_Desktop,internet_/_shop_Mobile,bet_type_category_Exotic,bet_type_category_WPS
53,4.0,0.48,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
40,15.0,1.7999999999999998,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
19,5.0,0.55,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
44,5.0,0.35000000000000003,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
34,5.0,0.55,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
25,15.0,0.45,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
32,100.0,7.000000000000001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
31,5.0,0.35000000000000003,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
46,50.0,3.5000000000000004,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
30,12.0,0.8400000000000001,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
27,15.0,1.7999999999999998,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
19,45.0,1.35,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
30,16.0,0.48,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
45,35.0,3.5,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
20,200.0,22.0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0
59,10.0,1.2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
35,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
25,7.0,0.56,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
37,56.0,6.72,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
58,205.0,14.35,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
23,423.0,50.76,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
41,785.0,86.35,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
38,3.0,0.33,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
25,2.0,0.24,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
